"","n","beta","a","sd","wt_stat","wt_conclusion"
"1",106,0.565030479105189,1.72125653445255,3.61563670665323,2.31885896912521,0
"2",394,0.591628980124369,2.37195290561067,4.64519753671121,7.13725580908937,1
"3",143,0.647611132124439,-0.0628372364328243,3.09229360343488,0.658710102960143,0
"4",432,0.658280356205069,3.01937236449448,4.78786730730638,0.770402985934183,0
"5",275,0.614753252710216,3.61408197801793,5.16615722168682,3.87084394169373,0
"6",385,0.643312928033993,4.74685225340072,6.14229217342477,0.611805875364705,0
"7",311,0.857740320498124,1.34404722061008,3.47635981957574,2.32670069572464,0
"8",214,0.878332298481837,-2.23603341646958,4.00896825801619,1.91775029537779,0
"9",308,0.912141355336644,0.345481020992156,2.80506175464781,2.80125314507008,0
"10",207,0.549157311907038,0.114620748220477,2.1119944715317,2.11554838364252,0
"11",208,0.980285835918039,3.03047675004927,4.49624507119474,5.24323817624939,0
"12",293,0.523707930813543,-1.03615971788531,3.26328902025815,0.107137753217869,0
"13",196,0.594050352461636,-0.505968056607526,3.04505843865163,2.2469593081606,0
"14",373,0.85677141265478,-4.25387355905259,5.63493827644247,1.03930124358058,0
"15",403,0.549327304586768,3.59943530630553,5.27243205093482,8.16229130193769,1
"16",379,0.581426486256532,-0.801395417808089,2.69692956218072,0.148265279793719,0
"17",181,0.65897567011416,-3.32133213196648,5.68677582703199,4.11574869568457,0
"18",268,0.891882814699784,0.904461142595392,2.5364922339541,0.326479829569396,0
"19",456,0.749109645839781,-1.11339326932793,3.83476466637552,0.279816518298786,0
"20",316,0.830327038653195,1.39893225313863,3.51043122536845,2.12732170928656,0
"21",345,0.893591001979075,0.36128301997669,2.99234972558655,1.00337358963517,0
"22",325,0.866126317065209,-2.929888623429,4.91364801938494,3.546989074037,0
"23",124,0.522814448806457,-1.65188392638229,3.32128697481459,1.13979721782647,0
"24",321,0.681946235476062,-3.8037848898326,6.6716951955912,0.0202121812920933,0
"25",263,0.558075738605112,4.80895751232747,6.62789680289881,1.91488527984698,0
"26",368,0.642784319468774,3.20156281328527,5.15103192389521,3.55331585508514,0
"27",201,0.54863892600406,-4.45016320077702,6.28675777085039,0.184219696412787,0
"28",226,0.996242382680066,0.891168949869461,3.39279911081096,0.750240485604226,0
"29",191,0.883841441012919,-2.33620467039291,3.84374636757416,0.787162553060416,0
"30",479,0.663157975883223,-1.14684165134095,3.21516259315959,1.75542776768094,0
"31",322,0.660775440977886,2.46470757741481,4.32264571876996,4.16911993431253,0
"32",158,0.569055087049492,1.52249614509055,3.18236449607481,4.85145300528587,0
"33",487,0.775013269972987,-1.61940496920142,4.19240558219298,0.577355722196051,0
"34",441,0.672187927295454,4.18382529100636,5.74024722488631,1.72682159197279,0
"35",209,0.942992071039043,2.90420092549175,4.66198171627907,2.9071149365762,0
"36",415,0.997608558856882,-2.000863594783,4.20447751420573,1.16822967555361,0
"37",377,0.943274965742603,2.47406442909269,4.35218243756694,0.290416565153305,0
"38",135,0.678464530268684,1.64744224891765,3.27795092452677,0.099081704706567,0
"39",309,0.918048859457485,1.65232618430164,3.77683857471702,1.6226668765698,0
"40",107,0.539076122106053,1.30011169796344,3.42748450345827,8.99117936959646,1
"41",369,0.780892992741428,1.39981695107417,3.16217889897335,3.19692506389277,0
"42",191,0.501243730075657,-2.32131230278173,3.77585106321697,4.29235078664784,0
"43",456,0.985575503204018,3.02100536406506,6.71207816851266,1.57968539472239,0
"44",309,0.790248249773867,2.40441369920736,3.75732124974479,4.02105190945804,0
"45",423,0.822938296245411,0.670340771542396,3.23182349440316,4.43448677192097,0
"46",288,0.769291214994155,-0.460163732804358,3.00924288474107,0.737495579199783,0
"47",370,0.566694226581603,4.75128003272694,6.29612660085101,1.38017508509873,0
"48",419,0.511518857674673,3.82861005493905,6.66274503213117,1.26305065852309,0
"49",395,0.910794791649096,1.06052016261965,3.73225119859638,1.03336483010632,0
"50",107,0.772242166800424,-3.81272352728993,4.66118820094188,0.614828303858528,0
"51",305,0.807971076341346,1.83786530535435,4.93114655367456,2.44543833527283,0
"52",401,0.872262382530607,1.63597894471604,4.34137156711027,0.17110399202818,0
"53",469,0.831195318489335,0.540671717468649,3.19053373033622,0.135779137559278,0
"54",212,0.712966507766396,-2.62841288896743,5.03356920994938,2.15921869070099,0
"55",366,0.964861754211597,-2.7561619023676,4.18556024429031,1.14303135000875,0
"56",412,0.917980553116649,0.261386251694057,3.29019504749114,1.92860173179269,0
"57",476,0.887204051832668,3.24386502979323,6.2304389717432,0.980737211152676,0
"58",458,0.737964365747757,-2.22463974702405,4.13682767215875,2.70032673173685,0
"59",297,0.683637088048272,-4.6773431164911,6.38123175541561,0.267803178819451,0
"60",450,0.816809898824431,-4.83749971317593,6.70270953674765,2.90410943919968,0
"61",209,0.960565259214491,3.1967782808817,4.8928113281251,0.142809749038869,0
"62",182,0.753335713408887,-1.70655980109004,3.06447856315147,1.69658885154112,0
"63",212,0.998164708609693,-1.80015685290564,3.86218007834953,1.11573600753046,0
"64",195,0.554895678418688,0.716459013021086,3.38267278050029,1.66350276119944,0
