"","epoch","value","metric","data"
"1","1",0.909375001311302,"acc","training"
"2","2",0.934085001558065,"acc","training"
"3","3",0.936630001485348,"acc","training"
"4","4",0.9383850004673,"acc","training"
"5","5",0.939245001584291,"acc","training"
"6","1",0.236370041381568,"loss","training"
"7","2",0.187133645603433,"loss","training"
"8","3",0.181358027843758,"loss","training"
"9","4",0.17792021179013,"loss","training"
"10","5",0.175397866566665,"loss","training"
"11","1",0.934375001192093,"acc","validation"
"12","2",0.934300002530217,"acc","validation"
"13","3",0.937112501710653,"acc","validation"
"14","4",0.938375000655651,"acc","validation"
"15","5",0.937712501063943,"acc","validation"
"16","1",0.18702123014722,"loss","validation"
"17","2",0.184656973453239,"loss","validation"
"18","3",0.178314954089001,"loss","validation"
"19","4",0.177395022669807,"loss","validation"
"20","5",0.186539370915852,"loss","validation"
"21","6",0.93973000150919,"acc","training"
"22","7",0.94002000156045,"acc","training"
"23","8",0.940975002020597,"acc","training"
"24","9",0.941210001468658,"acc","training"
"25","10",0.941265001446009,"acc","training"
"26","6",0.173790460078046,"loss","training"
"27","7",0.172528902223334,"loss","training"
"28","8",0.171112194169313,"loss","training"
"29","9",0.169500624269247,"loss","training"
"30","10",0.168756631590426,"loss","training"
"31","6",0.936587502136827,"acc","validation"
"32","7",0.938437502533197,"acc","validation"
"33","8",0.939037501141429,"acc","validation"
"34","9",0.937237502411008,"acc","validation"
"35","10",0.937662501782179,"acc","validation"
"36","6",0.181656282963231,"loss","validation"
"37","7",0.176069457046688,"loss","validation"
"38","8",0.175178208076395,"loss","validation"
"39","9",0.17778631743975,"loss","validation"
"40","10",0.178057750561275,"loss","validation"
