"","n","beta","sigma","ct$p.value"
"1",455,1.41706430118065,6.22520059184171,1.82487688145977e-06
"2",247,5.00046025328338,6.01062270323746,1.17678461845013e-29
"3",165,-9.82008499421645,3.10772513737902,5.33140731106721e-89
"4",266,-6.47142035500146,4.998664916493,1.78941070257332e-53
"5",467,-7.01679948566016,1.67217590752989,9.70622599510687e-296
"6",316,-9.71499627027661,1.57853234559298,3.200917612201e-248
"7",326,-8.85139798622113,9.73105854168534,7.71773351054214e-46
"8",500,-0.880378192756325,5.99894780083559,0.0013236860427999
"9",348,0.850101224402897,6.83167423354462,0.00372208427848589
"10",143,5.76581734633073,4.15670923935249,3.95961161365194e-35
"11",83,-5.5140071033733,6.70716706686653,6.53766683753857e-12
"12",304,-2.72110478696413,11.4215238098986,5.9215533155831e-08
"13",414,9.81320298044011,11.5260612836573,3.33765253141891e-48
"14",390,-8.00694933384657,9.28139844699763,3.26661271249676e-41
"15",372,8.62625532853417,4.77844191296026,1.57476826561598e-113
"16",273,-6.16302162229549,8.2551779311616,5.15553858185415e-30
"17",133,-5.33968648612499,3.27180646150373,3.39998352225043e-44
"18",94,-1.93525694201235,4.51147534302436,0.000356946422506594
"19",490,4.76137392604724,3.13681353861466,7.26023045443862e-137
"20",120,-0.906103733414784,10.7713794873562,0.000730706776724521
"21",413,-2.28037690524943,10.3144224467687,2.8162575377499e-07
"22",59,-6.30635709424969,5.59988462878391,2.18729856289005e-14
"23",431,1.9256541477982,2.36730457702652,5.64852445942267e-60
"24",171,7.66974090463482,2.89161255396903,5.39278397927699e-79
"25",265,-2.72618933890481,9.65667593944818,2.88559922545936e-08
"26",421,-4.0997019383125,5.79291835264303,7.04001840686208e-38
"27",492,6.49618757527787,10.0177255726885,8.57191859441637e-35
"28",91,-8.86144068492576,11.3657169402577,4.51431501384416e-09
"29",412,8.8678996762028,1.32297915010713,0
"30",113,-2.2752306685783,5.23198216105811,6.33686244445432e-05
"31",364,8.37456103747245,2.78195865056477,2.5297175725668e-201
"32",180,-4.1449388010893,2.83989740046673,8.42734454282512e-50
"33",198,-7.59316028333269,2.89583347435109,6.01353344719134e-88
"34",85,-7.24349972140044,1.20757622132078,5.823910117953e-62
"35",440,1.97303128240164,10.2089886621106,1.30726063924179e-05
"36",195,6.1753943354357,6.23483346891589,1.87458437062105e-25
"37",115,-4.39168629993219,7.2183028315194,3.26889551676253e-08
"38",249,-4.71558362485375,8.11236277059652,6.28156023548741e-16
"39",318,-6.34845501538366,9.05296053993516,5.55767271003355e-33
"40",253,-6.52052426789887,7.67401493666694,1.24345786048682e-27
"41",148,6.42962802925613,1.57975251739845,2.75037784364501e-96
"42",454,3.93955364893191,9.2032181522809,7.27372928235806e-23
"43",97,-8.48439672423992,7.2616000038106,3.56926362313679e-16
"44",57,-3.27060219915584,11.2383982802276,3.61971195470235e-05
"45",244,6.74713635724038,7.79048425634392,3.60570376048071e-35
"46",455,-5.13251536036842,3.95597129245289,4.71541702633955e-103
"47",463,0.185253340890631,5.74756584479474,0.353422636195391
"48",289,9.94530675117858,1.71335699409246,2.24539171189375e-229
"49",145,9.74001456983387,3.04397753905505,5.00983332240233e-81
"50",63,7.23011941569857,2.99921037140302,3.57530042472294e-25
"51",248,-1.22567918330897,2.23354430892505,6.35603364934443e-14
"52",394,-3.33351534802932,1.61838874034584,2.20704205001244e-144
"53",372,-3.8977135930676,10.9659649222158,3.20901288437578e-13
"54",256,-8.69339371894021,10.8094818592072,1.3818619439232e-34
"55",155,7.09274519518949,10.0070467630867,1.21366390829681e-16
"56",138,-1.9606180423405,2.46572912367992,3.84002781703355e-17
"57",338,0.622909928788431,9.28866783762351,0.159916921339776
"58",406,-6.37918815016747,5.3814697957132,2.21057962090386e-76
"59",351,1.58645368972793,3.71743435575627,1.0695089857902e-19
"60",429,-9.02825018528383,5.72021689615212,1.20715498438079e-107
"61",64,-5.21007457012311,8.92289849743247,2.06816639694811e-05
"62",256,-2.04342599546071,4.58127083349973,2.56654539718664e-15
"63",91,6.71745942796115,11.8560190200806,0.000144492265677101
"64",69,-0.486500033247285,6.18365063495003,0.903453674575144
"65",378,-5.01740537213627,6.37272054073401,1.58289399766752e-42
"66",340,-5.10947776047978,6.1642365551088,7.63122782233699e-46
"67",139,9.54216409190558,2.00389324245043,4.85193697516052e-104
"68",416,-0.691533454973251,2.41924524889328,1.12762446875533e-06
"69",218,-5.28134312445763,9.06782613508403,1.29028532775237e-12
